닉네임,소속팀,지역,DPI,일반감도,수직감도,스코프감도,2배율감도,3배율감도,4배율감도,6배율감도,8배율감도,해상도,인게임아이디
lukarux,VP,EU,400,39,1,39,39,39,39,39,39,1728x1080,-
luke12,TL,AMER,400,49,1,35,45,45,45,45,45,1728x1080,luke12
lingdu,FA,AS,400,45,0.9,45,45,45,45,45,45,1728x1080,-
lunlun,FA,AS,400,55,1.2,35,40,40,40,40,40,1728x1080,-
lionkk,FA,AS,400,45,1,35,42,42,40,40,40,1728x1080,-
leo,FA,APAC,400,45,1,32,40,42,45,45,46,1728x1080,-
lev4nte,VIT,EU,800,35,1,35,35,35,35,35,35,1728x1080,Lev4nte
layosh,AUR,EU,400,45,1,35,35,35,35,35,35,1728x1080,layosh
longx,FA,AS,400,35,1.1,32,36,36,36,36,36,1728x1080,-
lericz,EA,APAC,800,35,1.1,35,35,35,35,35,35,1920x1080,Lericz
lashk,FA,AS,400,50,1,35,40,40,40,40,40,1728x1080,-
maczora,FA,AS,1600,20,1,13,13,13,13,13,13,1728x1080,-
mandu,FA,AS,400,45,1.2,31,30,30,30,30,30,1728x1080,-
ming,GSW,AS,400,50,1,35,40,45,40,40,40,1728x1080,-
mming,PERO,AS,400,60,1.1,30,30,30,30,30,30,1728x1080,PeRo_MMing9
molodoct,S8UL,EU,400,50,1,35,35,40,40,42,42,1728x1080,-
monty,FA,AS,400,36,0.98,36,36,36,36,36,36,1920x1080,-
mykle,FA,EU,800,30,1.11,20,26,26,26,26,26,1728x1080,-
mell,FA,EU,800,42,1,37,37,40,40,40,40,1920x1080,-
minuda,FA,AS,400,50,1,34,34,34,34,34,34,1728x1080,-
mmei,FA,AS,400,35,0.85,33,33,33,33,33,33,1920x1080,-
myl,FA,AS,400,60,0.85,32,33,35,39,41,42,1728x1080,-
mad98,FA,AS,400,45,1,35,35,35,35,35,35,1728x1080,-
monsters,FA,AS,800,45,1.2,35,35,35,35,35,35,1728x1080,-
mogore,HIVE,EU,400,55,1.11,35,40,40,40,40,40,1728x1080,mogore
morek,FA,AS,400,50,1,35,40,40,40,40,40,1728x1080,-
mingz1,FA,AS,600,35,1,35,35,35,35,35,35,1728x1080,-
night,ART,AS,800,45,0.85,39,39,39,39,39,39,1920x1080,ART_n1ght
nann,FA,AS,800,45,1,33,35,35,36,36,36,1728x1080,-
nanss,JDG,AS,400,45,1.2,35,40,40,40,40,40,1728x1080,-
needex,FA,EU,400,50,1,35,42,42,42,42,42,1728x1080,NEEDEX
nixzyee,VP,EU,800,45,1.2,35,36,36,36,36,36,1728x1080,VPTPPKING
nourinz,EA,APAC,400,38,0.98,30,30,38,37,37,37,1920x1080,-
nyeong,VEX,AS,400,55,1.2,35,40,40,40,40,40,1728x1080,VEX_Nyeong
nomer3y,FA,AS,400,60,0.98,30,30,30,30,30,30,1728x1080,-
olympus,FA,APAC,800,43,1.2,37,37,37,39,39,39,1920x1080,-
